Gemeinden,Anzahl_Fahrzeuge,Postleitzahl,Laengengrad,Breitengrad,Distanz_in_km
ERING,9,94140,13.147265,48.300049,470.12
ERISKIRCH,37,88097,9.531634,47.629585,610.48
ERKENBRECHTSWEILER,14,73268,9.432874,48.557932,522.79
ERKERODE,2,38173,10.707679,52.203267,186.71
ERKNER,94,15537,13.754248,52.4197,26.19
ERLABRUNN,16,97250,9.842166,49.860126,386.5
ERLANGEN,794,91052,11.00498,49.595133,366.3
ERLAU,38,09306,12.931193,51.006513,171.61
ERLBACH,18,84567,12.786431,48.30704,471.03
ERLENBACH BEI KANDEL,3,76872,8.186629,49.110993,527.68
ERLENMOOS,14,88416,9.974997,48.063201,552.7
ERLENSEE,92,63526,8.97813,50.171489,403.72
ERMERSHAUSEN,1,96126,10.625268,50.208977,321.68
ERNDTEBRUECK,89,57339,8.256223,50.988732,393.5
ERNSGADEN,11,85119,11.575909,48.732291,440.95
EROLZHEIM,30,88453,10.072583,48.091068,546.86
ERPEL,14,53579,7.239148,50.584589,477.87
ERPOLZHEIM,13,67167,8.225515,49.489142,495.22
ERTINGEN,59,88521,9.460739,48.096788,566.44
ERXLEBEN,23,39343,11.24209,52.219333,150.76
ERZENHAUSEN,1,67685,7.617397,49.499657,526.37
ESCHBRONN,11,78664,8.457819,48.185315,596.62
ESCHELBRONN,9,74927,8.867647,49.320344,477.57
ESCHENBERGEN,1,99869,10.758794,51.02693,246.64
ESCHENBURG,102,35713,8.337467,50.813851,397.98
ESCHENLOHE,6,82438,11.185861,47.59802,570.33
ESLOHE (SAUERLAND),90,59889,8.174776,51.257259,385.75
ESPENAU,56,34314,9.472579,51.399939,297.12
ESSEL,7,29690,9.64201,52.6919,255.08
ESSELBACH,4,97839,9.52914,49.852286,401.54
ESSEN (OLDENBURG),82,49632,7.939404,52.719834,369.95
ESSENHEIM,34,55270,8.156349,49.931289,465.56
ESSINGEN,66,73457,10.027392,48.808719,476.83
ESSINGEN1,72,76879,8.174389,49.235839,518.05
ESTENFELD,53,97230,10.004205,49.830509,381.97
ESTERWEGEN,32,26897,7.633031,52.993068,392.3
ESTHAL,14,67472,7.985522,49.377306,516.32
ESTORF,16,21727,9.203619,53.576153,304.68
ESTORF1,11,31629,9.141689,52.588451,288.61
ETTENSTATT,4,91796,11.055181,49.078287,417.22
ETTRINGEN,18,56729,7.221107,50.35597,491.87
ETTRINGEN1,14,86833,10.652382,48.104011,529
ETZBACH,12,57539,7.686319,50.778743,439.82
ETZELWANG,5,92268,11.586047,49.526591,356.71
ETZENRICHT,9,92694,12.095984,49.631908,334.27
EUERBACH,17,97502,10.129282,50.062868,356.04
EURASBURG,35,82547,11.403471,47.855933,538.39
EURASBURG1,37,86495,11.085901,48.335239,493.96
EUSSENHEIM,19,97776,9.808713,49.989568,376.9
EUSSERTHAL,6,76857,7.970015,49.24392,527.66
EUTINGEN IM GAEU,68,72184,8.748033,48.47781,557.62
EVERSMEER,2,26556,7.428893,53.561363,416.3
EVERSWINKEL,83,48351,7.848037,51.925521,384.58
EVESSEN,7,38173,10.71125,52.188334,186.82
EXTERTAL,115,32699,9.122575,52.068647,295.81
EYDELSTEDT,11,49406,8.548216,52.691527,328.83
EYENDORF,11,21376,10.153673,53.202349,231.32
EYSTRUP,11,27324,9.212755,52.779255,284.55
FACHBACH,3,56133,7.691321,50.338102,464.83
FAHRENBACH,14,74864,9.149875,49.430872,455.04
FAHRENZHAUSEN,37,85777,11.554462,48.354613,481.85
FAID,16,56814,7.120819,50.146147,510.48
FALKENBERG,14,16259,13.958062,52.805096,49.01
FALKENBERG/ELSTER,64,04895,13.236202,51.587007,104.5
FALKENBERG1,15,84326,12.729995,48.462535,454.19
FALKENFELS,10,94350,12.595896,49.005191,395.39
FALKENSEE,468,14612,13.095729,52.562932000000004,21.47
FALKENSTEIN/HARZ,53,06463,11.343918,51.732029,165.93
FALKENSTEIN/VOGTL.,67,08223,12.370054,50.476123,238.55
FAMBACH,11,98597,10.367483,50.738223,288.74
FARCHANT,21,82490,11.112099,47.530185,579.08
FARNSTAEDT,9,06279,11.568475,51.425991,175.18
FASSBERG,59,29328,10.162006,52.895917,222.67
FAULBACH,9,97906,9.442597,49.783411,411.4
FEHL RITZHAUSEN,2,56472,8.000617,50.643503,428.08
FEHRBELLIN,79,16833,12.764153,52.813492,54.21
FEICHTEN A.D.ALZ,17,84550,12.595784,48.081776,497.39
FEILBINGERT,20,67824,7.807099,49.775224,495.92
FEILITZSCH,16,95183,11.935054,50.36188,260.98
FELDAFING,28,82340,11.295849,47.950499,530.32
FELDATAL,19,36325,9.172132,50.650387,359.12
FELDBERG (SCHWARZWALD),10,79868,8.109674,47.856404,641.47
FELDBERGER SEENLANDSCHAFT,32,17258,13.439741,53.335556,90.82
FELDHORST,1,23858,10.419596,53.860382,248.79
FELDKIRCHEN,65,85622,11.729618,48.147036,501.1
FELDKIRCHEN WESTERHAM,88,83620,11.84456,47.909454,525.11
FELDKIRCHEN1,60,94351,12.529169,48.838114,414.49
FELIXSEE,17,03130,14.570858,51.601115,129.73
FELL,12,54341,6.782587,49.771751,554.17
FELLHEIM,5,87748,10.151743,48.072741,546.31
FENSTERBACH,8,92269,12.041425,49.411206,359.01
FERDINANDSHOF,14,17379,13.888951,53.664787,131.48
FERNWALD,74,35463,8.778451,50.550186,388.1
FERSCHWEILER,2,54668,6.404686,49.863213,570.58
FICHTELBERG,13,95686,11.851053,49.999449,300.73
FICHTENAU,33,74579,10.207151,49.070628,444.95
FICHTENBERG,16,74427,9.712826,48.986058,471.43
FILSUM,11,26849,7.625571,53.244994,396.42
FINNENTROP,157,57413,7.973076,51.171888,402.45
FINNING,7,86923,11.012318,48.020779,528.92
FINNINGEN,10,89435,10.497394,48.656942,476.51
FINSING,49,85464,11.824361,48.216158,492.04
FINSTERWALDE,106,03238,13.707896,51.629598,101.26
FINTEL,21,27389,9.667823,53.172334,261.5
FISCHBACH,5,55743,7.398916,49.74285,520.88
FISCHBACH BEI DAHN,4,66996,7.71156,49.087476,553.26
FISCHBACH1,3,67693,7.910226,49.455485,514.17
FISCHBACHAU,62,83730,11.949191,47.719098,544.41
FISCHEN I.ALLGAEU,15,87538,10.270591,47.459403,606.22
FISCHERBACH,11,77716,8.110824,48.287203,602.26
FLACHT,8,65558,8.049755,50.343302,443.5
FLAMMERSFELD,10,57632,7.524291,50.646556,456.93
FLECHTINGEN,16,39345,11.239355,52.332246,148.48
FLIEDEN,94,36103,9.566496,50.423953,353.87
FLIESSEM,2,54636,6.540597,50.023777,552.62
FLINTSBACH A.INN,5,83126,12.125282,47.723091,541.72
FLOEHA,96,09557,13.072994,50.858511,186.37
FLOERSBACHTAL,12,63639,9.480329,50.127726,381.29
FLOERSHEIM DALSHEIM,21,67592,8.211124,49.651778,483.36
FLOETHE,8,38312,10.471279,52.087325,205.4
FLOH SELIGENTHAL,62,98593,10.480412,50.754223,281.85
FLOMBORN,9,55234,8.151622,49.69181,483.46
FLONHEIM,13,55237,8.036795,49.785707,482.63
FLORSTADT,92,61197,8.861417,50.318669,399.29
FLOSSENBUERG,6,92696,12.347341,49.731773,319.05
FLUORN WINZELN,15,78737,8.492724,48.2853,585.97
FLUTERSCHEN,2,57614,7.62623,50.665235,449.64
FOCKENDORF,2,04617,12.465781,51.04865,176.09
FOEHREN,8,54343,6.763505,49.85818,549.68
FOERITZ,38,96524,11.233001,50.340697,285.59
FORBACH,44,76596,8.358737,48.680136,556.36
FORCHHEIM,8,79362,7.702799,48.161908,631.65
FORHEIM,1,86735,10.448158,48.758933,467.74
FORST,1,57537,7.682865,50.803933,438.71
FORST1,1,76694,8.586918,49.152909,504.98
FORSTERN,23,85659,11.977334,48.183368,493.26
FORSTINNING,24,85661,11.912626,48.168565,495.84
FRAENKISCH CRUMBACH,29,64407,8.858014,49.745722,442.85
FRAMERSHEIM,9,55234,8.174174,49.758838,477.23
FRANKENBERG/SA.,155,09669,13.030777,50.910034,181.07
FRANKENECK,2,67468,8.052302,49.376384,512.96
FRANKENHARDT,52,74586,9.980093,49.081875,452.15
FRANKENSTEIN,8,67468,7.975037,49.440609,511.93
FRANKENTHAL,3,01909,14.106568,51.131628,161.91
FRANKENWINHEIM,10,97447,10.313963,49.887039,363.78
FRANKWEILER,9,76833,8.057838,49.227496,524.54
FRANZBURG,6,18461,12.877572,54.186968,188.84
FRASDORF,12,83112,12.285333,47.802277,531.19
FRAUENAU,14,94258,13.300927,48.989281,393.11
FRAUENNEUHARTING,8,83553,12.048251,48.039782,507.96
FRAUENPRIESSNITZ,4,07774,11.736114,51.016759,203.01
FRAUENSEE,6,36460,10.143196,50.877717,289.9
FRAUENSTEIN,21,09623,13.533996,50.801948,191.46
FRAUENWALD,2,98711,10.859311,50.583665,278.37
FRAUNBERG,36,85447,11.992691,48.368715,472.82
FRAUREUTH,58,08427,12.355719,50.703472,214.82
FRECKENFELD,16,76872,8.111546,49.065365,535.12
FREDENBECK,74,21717,9.398664,53.522438,290.5
FREDERSDORF VOGELSDORF,102,15370,13.755292,52.531041,23.76
FREI LAUBERSHEIM,6,55546,7.899191,49.801498,488.98
FREIAMT,50,79348,7.898241,48.186707,620.65
FREIBURG IM BREISGAU,1058,79098,7.849877,47.994786,639.97
FREIENSTEINAU,38,36399,9.403038,50.424409,362.43
FREIGERICHT,154,63579,9.112816,50.141455,398.92
FREIMERSHEIM,1,55234,8.088388,49.708089,485.6
FREISBACH,7,67361,8.270735,49.272207,510.31
FREISEN,75,66629,7.248603,49.552395,542.69
FREITAL,340,01705,13.64812,50.997194,170.34
FRELLSTEDT,1,38373,10.914392,52.206399,172.86
FREMDINGEN,10,86742,10.455724,48.97034,446.34
FRENSDORF,75,96158,10.865018,49.817439,349.15
FRESENBURG,4,49762,7.300842,52.884513,413.62
FREUDENBERG,56,57258,7.882831,50.901639,421.21
FREUDENBERG1,31,92272,11.982076,49.480033,352.76
FREUDENBERG2,36,97896,9.324222,49.742099,420.45
FREUDENBURG,7,54450,6.533509,49.54169,583.85
FRICKENHAUSEN,94,72636,9.359845,48.593654,522.19
FRICKINGEN,32,88699,9.273089,47.81517,600.69
FRIDOLFING,42,83413,12.827125,47.998322,505.02
FRIEDEBURG,95,26446,7.837696,53.45565,387.23
FRIEDELSHEIM,9,67159,8.22256,49.447276,498.67
FRIEDENFELS,15,95688,12.102638,49.883436,307.22
FRIEDENWEILER,8,79877,8.255208,47.916528,629.86
FRIEDEWALD,17,36289,9.856377,50.882439,305.18
FRIEDEWALD1,18,57520,7.960618,50.709712,426.73
FRIEDLAND,31,15848,14.264623,52.102722,74.7
FRIEDLAND1,21,17098,13.55012,53.669394,128.32
FRIEDLAND2,34,37133,9.913521,51.419791,268.91
FRIEDRICHRODA,75,99894,10.573924,50.860102,268.87
FRIEDRICHSKOOG,12,25718,8.89741,54.013926,343.01
FRIEDRICHSRUHE,5,19374,11.754257,53.527356,157.44
FRIELENDORF,92,34621,9.327652,50.975691,329.35
FRIEMAR,7,99869,10.788019,50.979661,248.83
FRIESACK,9,14662,12.579825,52.73771,60.79
FRIESENHAGEN,14,51598,7.810741,50.903172,425.62
FRIESENHEIM,3,55278,8.257524,49.83616,467.03
FRIESENRIED,11,87654,10.533666,47.875252,555.95
FROHBURG,107,04654,12.556473,51.057446,172.97
FRONHAUSEN,43,35112,8.694828,50.704151,383.13
FRONREUTE,50,88273,9.589918,47.863185,585.17
FUCHSSTADT,9,97727,9.932065,50.108503,361.1
FUCHSTAL,29,86925,10.826857,47.934246,542.41
FUENFSEEN,7,17213,12.392639,53.389037,118.18
FUENFSTETTEN,6,86681,10.76439,48.832623,450.69
FUERFELD,7,55546,7.893919,49.777143,491.02
FUERSTENBERG,6,37699,9.399382,51.731487,287.43
FUERSTENBERG/HAVEL,55,16798,13.145303,53.184686,76.02
FUERSTENECK,2,94142,13.461886,48.717971,423.26
FUERSTENSTEIN,23,94538,13.330344,48.719796,423.07
FUERSTENWALDE/SPREE,270,15517,14.064713,52.35966,48.2
FUERTH,98,64658,8.783565,49.650896,454.18
FUERTH1,135,90762,10.989974,49.477384,378.56
FUERTHEN,13,57539,7.668743,50.77935,440.88
FUHLENDORF1,3,24649,9.885482,53.943215,282.96
FULDABRUECK,88,34277,9.495422,51.228045,304.71
FULDATAL,113,34233,9.526295,51.350127,296.3
FURTH,24,84095,12.022543,48.589375,448.32
FUSSGOENHEIM,16,67136,8.291146,49.46116,494.09
GABLENZ,14,02953,14.665674,51.535197,139.55
GABLINGEN,38,86456,10.82349,48.455715,487.9
GABSHEIM,1,55288,8.174974,49.827822,472.08
GACHENBACH,10,86565,11.239123,48.498479,473.15
GADEBUSCH,47,19205,11.118522,53.701801,201.6
GAEDHEIM,10,97503,10.343449,50.024261,350.14
GAEGELOW,13,23968,11.381248,53.898899,204.35
GAERTRINGEN,105,71116,8.901692,48.641924,536.15
GAEUFELDEN,115,71126,8.829578,48.55375,547.24
GAIBERG,14,69251,8.750258,49.366268,479.23
GAIENHOFEN,28,78343,8.981837,47.68226,624.04
GAISSACH,15,83674,11.5801,47.747447,546.96
GALENBECK,11,17099,13.705727,53.621041,124.21
GALLMERSGARTEN,2,91605,10.279387,49.458198,405.05
GAMLEN,1,56761,7.200836,50.239214,500.03
GAMMELSDORF,13,85408,11.949324,48.556063,453.1
GANDERKESEE,236,27777,8.547501,53.034068,332
GANGELT,115,52538,5.997397,50.992732,537.71
GANGLOFFSOEMMERN,2,99634,10.942803,51.19004,224.87
GARCHING B.MUENCHEN,107,85748,11.65188,48.249173,491.4
GARLSTORF,9,21376,10.102673,53.236989,235.75
GARREL,111,49681,8.023923,52.955028,365.81
GARSTEDT,13,21441,10.160485,53.285914,233.91
GARTZ (ODER),10,16307,14.388886,53.2087,101.24
GARZ/RUEGEN,11,18574,13.352371,54.316745,200.04
GATTENDORF,9,95185,11.997165,50.32122,263.54
GAU BICKELHEIM,13,55599,8.020222,49.835596,479.9
GAU BISCHOFSHEIM,13,55296,8.272606,49.914648,460.44
GAU ODERNHEIM,34,55239,8.193147,49.784204,474.33
GAU WEINHEIM,1,55578,8.04777,49.846756,477.59
GAUKOENIGSHOFEN,15,97253,10.002455,49.63341,399.76
GAUTING,169,82131,11.37745,48.069152,515.97
GEBENBACH,4,92274,11.876108,49.537583,348.81
GEBESEE,11,99189,10.930425,51.115498,231.15
GEBHARDSHAIN,15,57580,7.821894,50.746687,433.17
GEBSATTEL,10,91607,10.202752,49.351657,418.07
GECHINGEN,39,75391,8.829001,48.695245,534.36
GEESTE,100,49744,7.266686,52.600995,415.37
GEFELL,19,07926,11.859201,50.438394,255.29
GEFELL1,7,54552,6.911168,50.238523,517.49
GEHOFEN,1,06571,11.317655,51.323722,195.61
GEHRDE,18,49596,8.0074090000000009,52.577704,365.34
GEHREN,20,98708,11.003569,50.648837,266.39
GEIERSTHAL,11,94244,12.976462,49.047945,387.68
GEISA,50,36419,9.949835,50.716792,311.91
GEISELBACH,9,63826,9.198109,50.122675,395.95
GEISELBERG,6,67715,7.695681,49.327329,535.26
GEISLEDEN,9,37308,10.196737,51.351649,255.7
GEISLINGEN,49,72351,8.811353,48.287956,572.61
GEISMAR,7,37308,10.166646,51.231232,264.75
GEITHAIN,47,04643,12.695256,51.05415,170.34
GELBENSANDE,10,18182,12.302493,54.202135,201.06
GELDERSHEIM,12,97505,10.154551,50.041966,356.74
GELENAU/ERZGEB.,42,09423,12.966024,50.711352,203.61
GELSENKIRCHEN,1784,45879,7.096064,51.510892,446.43
GELTENDORF,44,82269,11.028417,48.121517,517.88
GEMUENDEN,9,55490,7.480598,49.895912,505.75
GEMUENDEN (FELDA),21,35329,9.037306,50.680649,364.77
GEMUENDEN1,10,56459,8.017015,50.558177,432.11
GENDERKINGEN,8,86682,10.879082,48.707762,460.29
GENSINGEN,33,55457,7.926912,49.895853,480.71
GENTHIN,113,39307,12.154289,52.4059,85.77
GEORGENBERG,6,92697,12.420471,49.702543,321.09
GEORGENSGMUEND,71,91166,11.013793,49.188088,407.14
GEORGSDORF,10,49828,7.070904,52.5707,428.7
GERABERG,13,98716,10.843861,50.717913,267.51
GERATSKIRCHEN,1,84552,12.663337,48.337529,468.55
GERBRUNN,65,97218,9.982932,49.778601,387.5
GERBSTEDT,61,06347,11.626745,51.632497,156.72
GERDAU,8,29581,10.419084,52.967698,207.28
GERHARDSHOFEN,15,91466,10.691437,49.630671,373.4
GERINGSWALDE,39,09326,12.903355,51.076992,164.3
GERMARINGEN,25,87656,10.667839,47.921672,547.65
GERNRODE,10,37339,10.400524,51.395049,241.14
GEROLDSGRUEN,23,95179,11.596107,50.336439,273.56
GEROLDSHAUSEN,11,97256,9.900551,49.684161,399.48
GEROLFINGEN,6,91726,10.5104,49.053202,436.3
GEROLSBACH,25,85302,11.359714,48.494154,470.92
GEROLSHEIM,13,67229,8.262651,49.547125,488.77
GERSDORF,49,09355,12.70763,50.757804,201.99
GERSHEIM,56,66453,7.204325,49.149071,574.84
GERSTEN,7,49838,7.495371,52.571887,399.99
GERSTETTEN,130,89547,10.018422,48.622994,495.37
GERSTUNGEN,63,99834,10.075877,50.968063,287.18
GERSWALDE,11,17268,13.747927,53.170698,76.02
GERZEN,12,84175,12.428043,48.506541,452.09
GESCHWENDA,8,98716,10.822309,50.730967,267.39
GESEES,12,95494,11.537687,49.899555,319.43
GESLAU,7,91608,10.310404,49.365617,412.73
GESSERTSHAUSEN,46,86459,10.733868,48.331324,503.2
GESTRATZ,7,88167,9.98642,47.647887,594.63
GEVENICH,1,56825,7.085695,50.153309,512.13
GEYER,36,09468,12.924195,50.623705,213.7
GIELEROTH,1,57610,7.680652,50.667034,446.21
GIELOW,6,17139,12.74792,53.696542,138.13
GIERSLEBEN,9,06449,11.562441,51.764557,151.38
GIERSTAEDT,2,99100,10.827866,51.043617,241.86
GIESEN,74,31180,9.892277,52.195149,241.51
GILCHING,114,82205,11.288248,48.104347,514.01
GILLENFELD,5,54558,6.905652,50.127433,524.46
GILSERBERG,32,34630,9.06101,50.952165,346.53
GILTEN,7,29690,9.571926,52.706176,259.88
GIMBSHEIM,26,67578,8.375592,49.779088,465.03
GINGST,10,18569,13.259199,54.456954,215.84
GIROD,11,56412,7.910898,50.450715,444.92
GLAN MUENCHWEILER,6,66907,7.440223,49.472149,537.99
GLANDORF,87,49219,7.997313,52.086017,371.17
GLASHUETTE,59,01768,13.781215,50.851929,187.5
GLASHUETTEN,70,61479,8.402503,50.215925,431.88
GLASHUETTEN1,83,95496,11.448864,49.890901,322.88
GLASIN,2,23992,11.737231,53.911906,190.69
GLATTBACH,28,63864,9.149913,50.007221,407.42
GLATTEN,10,72293,8.51346,48.443793,570.65
GLAUBITZ,16,01612,13.378093,51.324914,133.05
GLAUBURG,18,63695,9.017487,50.324623,390.37
GLAUCHAU,247,08371,12.542352,50.817863,198.62
GLEINA,11,06632,11.718901,51.257442,182.12
GLEISSENBERG,2,93477,12.740713,49.317058,359.58
GLEISWEILER,1,76835,8.067564,49.242242,522.87
GLEISZELLEN GLEISHORBACH,4,76889,8.004089,49.125009,535.52
GLIENICKE/NORDBAHN,94,16548,13.314719,52.630739,13.76
GLOETT,14,89353,10.484402,48.499951,492.86
GLOTTERTAL,17,79286,7.936459,48.049481,631.26
GLOWE,5,18551,13.469288,54.569894,228.23
GMUND A.TEGERNSEE,64,83703,11.738468,47.750896,544.01
GNARRENBURG,86,27442,9.002998,53.3823,310.39
GNOIEN,17,17179,12.710326,53.968941,167.8
GOCHSHEIM,66,97469,10.282762,50.019951,353.11
GOECKLINGEN,11,76831,8.0416,49.162018,530.65
GOEDA,26,02633,14.319852,51.179523,161.94
GOEDENSTORF,9,21376,10.123465,53.228515,234.14
GOEGGINGEN,9,73571,9.887271,48.8635,476.54
GOEHRDE,1,29473,10.957537,53.129893,178.06
GOELLHEIM,26,67307,8.051428,49.59502,496.08
GOENNERSDORF1,1,54584,6.594609,50.32644,531.78
GOENNHEIM,9,67161,8.237788,49.448987,497.76
GOERGESHAUSEN,1,56412,7.955085,50.409197,444.87
GOERISRIED,4,87657,10.506919,47.706839,574.23
GOERITZ,3,17291,13.913651,53.407652,104.53
GOERLITZ,329,02826,14.988035,51.155287,186.9
GOERMIN,2,17121,13.271276,53.991357,164.03
GOERSBACH,12,99765,10.939453,51.462573,205.94
GOERWIHL,47,79733,8.07848,47.641249,662.73
GOERZKE,12,14828,12.374401,52.172173,80.07
GOESSENHEIM,15,97780,9.781104,50.019333,375.66
GOESSNITZ,18,04639,12.433836,50.888453,193.58
GOHRISCH,8,01824,14.108678,50.91015,185.66
GOLDBACH,15,99869,10.65936,50.99227,254.36
GOLDBECK,11,39579,11.862559,52.717293,106.53
GOLDBERG,25,19399,12.089118,53.591077,148.21
GOLDENSTEDT,95,49424,8.430766,52.787669,337.16
GOLLHOFEN,4,97258,10.192689,49.570716,397.82
GOLMBACH,5,37640,9.545419,51.900375,272.12
GOLMSDORF,2,07751,11.668406,50.972545,209.75
GOLZOW,13,14778,12.605916,52.278452,60.57
GOLZOW1,13,15328,14.492552,52.573889,73.87
GOMADINGEN,17,72532,9.386957,48.401333,539.52
GOMARINGEN,84,72810,9.096513,48.452476,545.81
GOMMERN,94,39245,11.825518,52.073221,118.47
GOMMERSHEIM,10,67377,8.264281,49.290626,509.13
GONDELSHEIM,25,75053,8.657949,49.05879,509.73
GONDERSHAUSEN,9,56283,7.496868,50.160728,487.39
GORDEN STAUPITZ,14,03238,13.623827,51.534994,110.67
GORLEBEN,1,29475,11.356745,53.048304,149.91
GORNAU/ERZGEB.,35,09405,13.043355,50.758952,197.62
GORNSDORF,17,09390,12.885072,50.708997,204.78
GOSECK,12,06667,11.870477,51.19643,181.21
GOSEN NEU ZITTAU,20,15537,13.741699,52.388631,27.12
GOSHEIM,30,78559,8.752701,48.135752,589.22
GOSSERSWEILER STEIN,16,76857,7.927631,49.162934,536.28
GOTHA,293,99867,10.70337,50.948759,255.47
GOTTENHEIM,8,79288,7.728669,48.050063,640.38
GOTTESZELL,14,94239,12.967181,48.962235,397.25
GOTTFRIEDING,14,84177,12.536224,48.638968,436.37
GOTTMADINGEN,95,78244,8.777019,47.735149,626.44
GRAACH AN DER MOSEL,2,54470,7.064328,49.935493,527.11
GRABAU,4,21493,10.519825,53.513609,222.61
GRABAU1,3,23845,10.274484,53.804138,253.12
GRABEN NEUDORF,114,76676,8.496271,49.172696,507.6
GRABENSTAETT,38,83355,12.541638,47.842655,524.29
GRABENSTETTEN,9,72582,9.461456,48.523681,524.99
GRABFELD,53,98631,10.437103,50.453922,308.53
GRABOW,52,19300,11.564527,53.278844,149.69
GRABOWHOEFE,9,17194,12.594231,53.569758,128.84
GRAEFELFING,103,82166,11.431034,48.117816,509.69
GRAEFENDORF,8,97782,9.738256,50.121214,369.2
GRAEFENHAIN,14,99887,10.703454,50.819494,265.71
GRAEFENHAINICHEN,93,06773,12.455564,51.72918,109.36
GRAEFENRODA,10,99330,10.812573,50.748323,266.39
GRAEFENTHAL,13,98743,11.307918,50.525286,265.31
GRAEVENWIESBACH,52,61279,8.457558,50.388342,417.09
GRAFENAU,74,71120,8.91395,48.711098,529.32
GRAFENAU1,77,94481,13.397607,48.85871,407.57
GRAFENBERG,18,72661,9.305273,48.566126,526.91
GRAFENHAUSEN,10,79865,8.262034,47.772892,642.96
GRAFENRHEINFELD,24,97506,10.198374,50.002934,358.26
GRAFENWIESEN,10,93479,12.881455,49.201468,371.24
GRAFHORST,9,38462,10.945085,52.444849,166.97
GRAFLING,15,94539,12.97438,48.894539,404.72
GRAFRATH,29,82284,11.164399,48.123574,514.6
GRAFSCHAFT,112,53501,7.096534,50.571734,487.38
GRAINAU,13,82491,11.026832,47.470838,587.18
GRAINET,12,94143,13.654265,48.795987,414.93
GRAMBOW,1,17321,14.335098,53.414224,117.46
GRAMZOW,8,17291,14.006976,53.210716,86.88
GRANDE,1,22946,10.386682,53.58,233.89
GRANSEE,59,16775,13.158176,53.007024,56.71
GRASBERG,76,28879,8.983753,53.180531,306.12
GRASBRUNN,59,85630,11.743559,48.079074,508.24
GRASLEBEN,12,38368,11.013922,52.306136,164.08
GRATTERSDORF,12,94541,13.153553,48.803791,414.07
GREBENHAIN,58,36355,9.334831,50.488683,361.39
GREBENSTEIN,74,34393,9.414625,51.446845,298.47
GREIFENBERG,9,86926,11.083385,48.07061,522.02
GREIFENSTEIN,74,35753,8.291548,50.622962,411.88
GREILING,10,83677,11.608942,47.76297,544.79
GREIMERATH,9,54314,6.681385,49.562706,573.95
GREIMERATH1,5,54533,6.909056,50.04064,529.58
GREIMERSBURG,2,56814,7.142134,50.184828,506.84
GREIZ,146,07973,12.201545,50.654739,223.69
GREMSDORF,11,91350,10.836116,49.697348,361.84
GRENZACH WYHLEN,108,79639,7.658946,47.553081,688.38
GRETHEM,1,29690,9.579109,52.724259000000004,259.51
GRETTSTADT,42,97508,10.312228,49.98423,355.06
GREUSSEN,20,99718,10.944013,51.228102,221.99
GREUSSENHEIM,13,97259,9.765505,49.814012,393.95
GREVEN1,1,48268,7.613202,52.092652,396.97
GREVESMUEHLEN,77,23936,11.184913,53.864458,210.51
GRIES,9,66903,7.400731,49.418642,544.07
GRIESINGEN,8,89608,9.784023,48.266986,538.52
GRIESSTAETT,16,83556,12.178432,47.994125,511.3
GRIMMA,219,04668,12.72714,51.235476,150.39
GRIMMEN,79,18507,13.043192,54.113133,178.97
GROEBENZELL,149,82194,11.37188,48.1927,502.84
GROEDEN,7,04932,13.573388,51.406143,124.53
GROEDITZ,57,01609,13.447811,51.412323,123.34
GROENINGEN,30,39397,11.218881,51.937091,162.56
GROENWOHLD,14,22956,10.408036,53.642627,236.14
GROITZSCH,72,04539,12.281022,51.154307,170.55
GROLSHEIM,8,55459,7.914483,49.909885,480.41
GROSS DUEBEN,11,02959,14.567785,51.566559,132.68
GROSS IPPENER,1,27243,8.618161,52.959055,326.23
GROSS KIESOW,10,17495,13.476549,54.012228,166.18
GROSS LAASCH,4,19288,11.553194,53.346185,154.58
GROSS LINDOW,15,15295,14.531031,52.235314,82.82
GROSS MILTZOW,7,17349,13.594998,53.535637,113.77
GROSS NEMEROW,8,17094,13.224305,53.47317,106.79
GROSS OESINGEN,6,29393,10.462138,52.648088,199.54
GROSS PANKOW (PRIGNITZ),29,16928,12.055363,53.118372,112.6
GROSS PLASTEN,1,17192,12.853673,53.544471,119.86
GROSS QUENSTEDT,4,38822,11.111712,51.929351,169.63
GROSS ROGE,1,17166,12.498443,53.779689,152.73
GROSS SCHACKSDORF SIMMERSDORF,10,03149,14.633589,51.688001,125.04
GROSS TWUELPSTEDT,13,38464,10.919959,52.373685,169.38
GROSS WOKERN,5,17166,12.492998,53.748243,149.68
GROSS WUESTENFELDE,5,17168,12.548984,53.874405,161.21
GROSSAITINGEN,54,86845,10.781536,48.228812,512.63
GROSSBARDORF,4,97633,10.36886,50.268767,327.47
GROSSBARTLOFF,3,37359,10.210525,51.249703,261.06
GROSSBEEREN,76,14979,13.307172,52.353582,19.68
GROSSBETTLINGEN,47,72663,9.30894,48.590744,524.44
GROSSBREITENBACH,7,98701,11.004886,50.580835,272.36
GROSSBREMBACH,1,99610,11.323364,51.112849,212.25
GROSSDUBRAU,49,02694,14.462673,51.255607,158.4
GROSSEFEHN,108,26629,7.603827,53.401328,401.05
GROSSEIBSTADT,8,97633,10.409736,50.300535000000004,322.89
GROSSELFINGEN,16,72415,8.883505,48.335162,565.29
GROSSENEHRICH,10,99718,10.829807,51.250235000000004,226.44
GROSSENGOTTERN,10,99991,10.564286,51.146419,248.09
GROSSENHAIN,155,01558,13.53055,51.292057,136.97
GROSSENKNETEN,101,26197,8.256473,52.944822,350.18
GROSSENLUEDER,97,36137,9.540875,50.589482,343.01
